Age,Annee_2021
0,85.7
1,84.9
2,83.9
3,82.9
4,81.9
5,80.9
6,79.9
7,78.9
8,77.9
9,76.9
10,76
11,75
12,74
13,73
14,72
15,71
16,70
17,69
18,68
19,67
20,66
21,65
22,64
23,63.1
24,62.1
25,61.1
26,60.1
27,59.1
28,58.1
29,57.1
30,56.1
31,55.1
32,54.2
33,53.2
34,52.2
35,51.2
36,50.2
37,49.2
38,48.2
39,47.3
40,46.3
41,45.3
42,44.3
43,43.3
44,42.4
45,41.4
46,40.4
47,39.4
48,38.5
49,37.5
50,36.5
51,35.6
52,34.6
53,33.7
54,32.7
55,31.8
56,30.9
57,30
58,29
59,28.1
60,27.2
61,26.3
62,25.4
63,24.5
64,23.6
65,22.7
66,21.8
67,21
68,20.1
69,19.2
70,18.4
71,17.6
72,16.7
73,15.9
74,15.1
75,14.3
76,13.5
77,12.8
78,12
79,11.3
80,10.6
81,9.9
82,9.2
83,8.5
84,7.9
85,7.3
86,6.7
87,6.2
88,5.7
89,5.2
90,4.7
91,4.3
92,4
93,3.6
94,3.3
95,3.1
96,2.8
97,2.6
98,2.4
99,2.2
