Age,Annee_2021
0,81.6
1,80.9
2,79.9
3,79
4,78
5,77
6,76
7,75
8,74
9,73
10,72
11,71
12,70
13,69
14,68
15,67
16,66
17,65
18,64.1
19,63.1
20,62.1
21,61.1
22,60.2
23,59.2
24,58.2
25,57.2
26,56.3
27,55.3
28,54.3
29,53.4
30,52.4
31,51.4
32,50.4
33,49.5
34,48.5
35,47.5
36,46.5
37,45.6
38,44.6
39,43.6
40,42.6
41,41.7
42,40.7
43,39.7
44,38.8
45,37.8
46,36.9
47,35.9
48,35
49,34
50,33.1
51,32.1
52,31.2
53,30.3
54,29.4
55,28.5
56,27.6
57,26.7
58,25.8
59,24.9
60,24
61,23.2
62,22.3
63,21.5
64,20.7
65,19.9
66,19.1
67,18.3
68,17.5
69,16.7
70,16
71,15.2
72,14.5
73,13.7
74,13
75,12.3
76,11.6
77,11
78,10.3
79,9.7
80,9
81,8.4
82,7.8
83,7.3
84,6.7
85,6.2
86,5.7
87,5.2
88,4.8
89,4.4
90,4
91,3.7
92,3.4
93,3.1
94,2.9
95,2.7
96,2.5
97,2.3
98,2.1
99,1.9

