Age,Annee_2021
0,64.21
1,63.21
2,62.21
3,61.21
4,60.21
5,59.21
6,58.21
7,57.21
8,56.21
9,55.21
10,54.21
11,53.21
12,52.21
13,51.21
14,50.21
15,49.21
16,48.21
17,47.21
18,46.21
19,45.21
20,44.21
21,43.21
22,42.21
23,41.21
24,40.21
25,39.21
26,38.21
27,37.21
28,36.21
29,35.21
30,34.21
31,33.21
32,32.21
33,31.21
34,30.21
35,29.21
36,28.21
37,27.21
38,26.21
39,25.21
40,24.21
41,23.21
42,22.21
43,21.21
44,20.21
45,19.21
46,18.21
47,17.21
48,16.21
49,15.21
50,14.21
51,13.21
52,12.21
53,11.21
54,10.21
55,9.21
56,8.21
57,7.21
58,6.21
59,5.21
60,4.21
61,3.21
62,2.21
63,1.21
