Age,Annee_2021
0,79.78
1,79.17
2,78.19
3,77.21
4,76.22
5,75.23
6,74.24
7,73.25
8,72.25
9,71.26
10,70.27
11,69.27
12,68.28
13,67.29
14,66.3
15,65.31
16,64.32
17,63.34
18,62.36
19,61.38
20,60.41
21,59.44
22,58.47
23,57.5
24,56.54
25,55.58
26,54.61
27,53.66
28,52.7
29,51.74
30,50.79
31,49.84
32,48.89
33,47.94
34,47
35,46.06
36,45.12
37,44.18
38,43.24
39,42.31
40,41.38
41,40.45
42,39.52
43,38.6
44,37.68
45,36.76
46,35.85
47,34.94
48,34.04
49,33.14
50,32.24
51,31.35
52,30.47
53,29.59
54,28.72
55,27.86
56,27.01
57,26.16
58,25.32
59,24.49
60,23.67
61,22.85
62,22.04
63,21.24
64,20.45
65,19.66
66,18.88
67,18.1
68,17.34
69,16.58
70,15.82
71,15.08
72,14.36
73,13.64
74,12.94
75,12.26
76,11.6
77,10.95
78,10.31
79,9.7
80,9.1
81,8.53
82,7.98
83,7.44
84,6.93
85,6.44
86,5.99
87,5.55
88,5.15
89,4.76
90,4.41
91,4.08
92,3.78
93,3.51
94,3.27
95,3.05
96,2.85
97,2.68
98,2.52
99,2.37
100,2.23
101,2.09
102,1.96
103,1.84
104,1.72
105,1.61
106,1.5
107,1.4
108,1.3
109,1.21
110,1.12
111,1.03
112,0.95
113,0.88
114,0.8
115,0.74
116,0.68
117,0.63
118,0.58
119,0.53
