Age,Annee_2021
0,54.28
1,53.28
2,52.28
3,55.28
4,50.28
5,49.28
6,56.28
7,47.28
8,46.28
9,57.28
10,44.28
11,43.28
12,58.28
13,41.28
14,40.28
15,59.28
16,38.28
17,37.28
18,60.28
19,35.28
20,34.28
21,61.28
22,32.28
23,31.28
24,62.28
25,29.28
26,28.28
27,63.28
28,26.28
29,25.28
30,64.28
31,23.28
32,22.28
33,65.28
34,20.28
35,19.28
36,66.28
37,17.28
38,16.28
39,67.28
40,14.28
41,13.28
42,68.28
43,11.28
44,10.28
45,69.28
46,8.28
47,7.28
48,70.28
49,5.28
50,4.28
51,71.28
52,2.28
53,1.28
