Age,Annee_2021
0,74.12
1,73.55
2,72.58
3,71.6
4,70.62
5,69.63
6,68.64
7,67.65
8,66.65
9,65.66
10,64.67
11,63.68
12,62.69
13,61.7
14,60.71
15,59.73
16,58.76
17,57.79
18,56.84
19,55.9
20,54.97
21,54.04
22,53.12
23,52.21
24,51.3
25,50.39
26,49.48
27,48.57
28,47.66
29,46.76
30,45.86
31,44.97
32,44.07
33,43.18
34,42.29
35,41.39
36,40.5
37,39.62
38,38.73
39,37.85
40,36.97
41,36.09
42,35.21
43,34.34
44,33.46
45,32.59
46,31.73
47,30.87
48,30.01
49,29.17
50,28.33
51,27.5
52,26.67
53,25.86
54,25.06
55,24.27
56,23.48
57,22.71
58,21.95
59,21.21
60,20.47
61,19.74
62,19.03
63,18.32
64,17.63
65,16.94
66,16.26
67,15.58
68,14.91
69,14.24
70,13.59
71,12.94
72,12.3
73,11.67
74,11.05
75,10.46
76,9.88
77,9.32
78,8.77
79,8.25
80,7.74
81,7.25
82,6.77
83,6.31
84,5.88
85,5.47
86,5.07
87,4.7
88,4.35
89,4.02
90,3.72
91,3.44
92,3.18
93,2.96
94,2.75
95,2.57
96,2.42
97,2.28
98,2.15
99,2.04
100,1.93
101,1.83
102,1.73
103,1.63
104,1.54
105,1.45
106,1.36
107,1.28
108,1.2
109,1.13
110,1.05
111,0.98
112,0.92
113,0.85
114,0.79
115,0.74
116,0.68
117,0.63
118,0.58
119,0.53
